en_tok,de_tok
"i didn ' t feel very well , but i went to work anyway .","ich fühlte mich nicht besonders gut , ging aber dennoch arbeiten ."
i ' m in a hotel in boston right now .,im augenblick bin ich in einem hotel in boston .
i thought you might know where tom went .,"ich dachte , sie würden möglicherweise wissen , wo tom hingegangen ist ."
i ' m sure you ' ll come up with something .,"ich bin sicher , dir fällt was ein ."
i brought you some ice .,ich habe dir etwas eis mitgebracht .
am i supposed to be sorry ?,sollte mir das leid tun ?
you ' re in good hands .,ihr seid in guten händen .
i ' m sure you did what you thought was right .,"ich bin sicher , dass sie getan haben , was sie für richtig hielten ."
we ' re not so confident .,wir sind nicht recht zuversichtlich .
don ' t talk to tom .,rede nicht mit tom .
she drew a circle on a piece of paper with a pencil .,sie zeichnete mit einem bleistift einen kreis auf ein stück papier .
tom forced his way into the room .,tom bahnte sich einen weg in den raum .
"if i were you , i wouldn ' t sign that contract .",an deiner stelle unterschriebe ich den vertrag nicht .
don ' t let tom eat this .,lassen sie tom das nicht essen .
i ran in order to make it on time .,"ich bin gerannt , um es noch rechtzeitig zu schaffen ."
she assisted her brother with his homework .,sie unterstützte ihren bruder bei seiner hausarbeit .
do you have a quiet place where you can do your homework ?,"hast du einen ruhigen ort , wo du deine hausaufgaben erledigen kannst ?"
what do you really mean ?,was meinst du wirklich ?
i bought tom a banjo for christmas .,ich hab tom ein banjo zu weihnachten gekauft .
i didn ' t get even one letter from her .,ich habe nicht einen einzigen brief von ihr bekommen .
seize him !,fass ihn !
a boy came running towards me .,ein junge kam auf mich zugelaufen .
tom lives in a penthouse on the th floor .,tom wohnt in einem penthouse im dreißigsten stock .
tom will be here for three more weeks .,tom bleibt noch drei wochen hier .
do you really want a job in the same office as tom ?,möchtest du wirklich im gleichen büro wie tom einer arbeit nachgehen ?
tom said that you ' d be able to help me .,"tom sagte , sie könnten mir helfen ."
i don ' t want to reply to this letter .,ich will diesen brief nicht beantworten .
i forget what prompted me to write this .,"ich weiß schon gar nicht mehr , was mich veranlasst hat , das zu schreiben ."
i ' ll wait here until you come back .,"ich werde hier warten , bis du wiederkommst ."
tom has been robbed .,tom wurde bestohlen .
how often do you try to help others ?,"wie oft bemüht ihr euch , anderen zu helfen ?"
what ' s your horse ' s name ?,wie heißt dein pferd ?
i heard some shots .,ich hörte einige schüsse .
he called my name .,er rief meinen namen .
"when it comes to fishing , he ' s an expert .","was das angeln angeht , so ist er ein experte ."
cherries are red .,kirschen sind rot .
i remember both of you .,ich erinnere mich an euch beide .
i ' m on the eighth floor .,ich bin in der achten etage .
you don ' t know everything .,du weißt nicht alles .
the toilet door is closed .,die toilettentür ist geschlossen .
tom is not who you think he is .,"tom ist nicht der , für den du ihn hältst ."
do you think it ' ll be cold tonight ?,"glaubst du , daß es heute nacht kalt sein wird ?"
we can speak french .,wir können französisch .
i know where tom went .,"ich weiß , wohin tom gegangen ist ."
i thought i could settle it by phone .,"ich dachte , ich könnte es per telefon erledigen ."
tom is good at cooking .,tom kann gut kochen .
you know everybody .,du kennst jeden .
i ' m beginning to get tired .,langsam werde ich müde .
did tom talk to you about that ?,hat tom mit dir darüber gesprochen ?
did you go swimming last week ?,warst du letzte woche schwimmen ?
have a taste .,koste mal !
are you good at public speaking ?,könnt ihr gut vor publikum sprechen ?
"and now , it ' s my turn !",und jetzt bin ich an der reihe !
tom asked mary to stay at home until the babysitter got there .,"tom bat maria , noch so lange zu hause zu bleiben , bis das kindermädchen käme ."
it ' ll be dark in an hour .,in einer stunde wird es dunkel .
you can depend on it .,darauf können sie sich verlassen .
are you still sure you don ' t want to do that ?,willst du das noch immer ganz bestimmt nicht tun ?
i ' m free on sunday .,am sonntag bin ich frei .
she gave birth to a healthy baby .,sie hat ein gesundes baby geboren .
i want to study mathematics .,ich will mathematik studieren .
he entered the room after you left .,"er kam ins zimmer , nachdem du gegangen bist ."
please draw a picture of sheep .,bitte mach eine zeichnung von schafen .
that won ' t happen .,das wird nicht geschehen .
bears like honey just as much as people do .,ebenso wie dem menschen schmeckt auch dem bären der honig .
many people disagreed with the judge ' s decision .,viele leute waren mit der entscheidung des richters nicht einverstanden .
tom was a good father .,tom war ein guter vater .
tom let me down .,tom hat mich enttäuscht .
i ' ve always wanted to write a children ' s book .,ich wollte schon immer einmal ein kinderbuch schreiben .
no one knows where he lives .,"niemand weiß , wo er wohnt ."
tom learned how to swim when he was three .,"tom hat , als er drei war , schwimmen gelernt ."
we studied together in the library .,wir lernten zusammen in der bibliothek .
he got lost in the city .,er verlief sich in der stadt .
is that a good thing ?,ist das etwas gutes ?
tom ' s family rarely eat together .,in toms familie wird selten zusammen gespeist .
can i get a little assistance here ?,könntest du mir hier mal kurz helfen ?
we have to close the windows .,wir müssen die fenster schließen .
tom explained that very well .,tom hat das sehr gut erklärt .
i ' m releasing the prisoners .,ich werde die gefangenen befreien .
i ' m in charge of the book department .,ich bin für die buchabteilung verantwortlich .
tom is new here .,tom ist neu hier .
let ' s go in .,lasst uns hineingehen !
the living room adjoins the dining room .,das wohnzimmer schließt an das esszimmer an .
tom asked me why i didn ' t live in boston anymore .,"tom fragte mich , warum ich nicht mehr in boston lebe ."
unemployment is still high .,die arbeitslosigkeit ist immer noch hoch .
none of us knew the answer .,keine von uns wusste die antwort .
you must not talk to each other in class .,ihr sollt euch im unterricht nicht unterhalten !
i ' m badly wounded .,ich bin schwer verwundet .
i met tom when we were both university students .,"ich lernte tom kennen , als wir beide studierten ."
this is what tom does for a living .,damit verdient tom sich seinen lebensunterhalt .
you ' re right .,du hast recht .
tom had to go without food for days .,tom musste tagelang ohne nahrung auskommen .
you ought to listen to your mother .,du solltest auf deine mutter hören .
tom wants to know when you ' ll be finished .,"tom will wissen , wann du fertig sein wirst ."
i usually go to work by car .,ich fahre gewöhnlich mit dem auto zur arbeit .
